title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
<b>딸기</b> 요거트 <b>케이크</b>,https://smartstore.naver.com/main/products/12895108462,https://shopping-phinf.pstatic.net/main_9043961/90439619454.jpg,47000,,파리크라상,90439619454,2,파리크라상,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
스타벅스 카페 아메리카노 T 2잔 + <b>딸기</b> 가나슈 프레지에 + <b>딸기</b> 프레지에 <b>케이크</b>,https://search.shopping.naver.com/catalog/58800619034,https://shopping-phinf.pstatic.net/main_5880061/58800619034.20260204174655.jpg,35200,,네이버,58800619034,1,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
스타벅스 카페 아메리카노 T 2잔 + <b>딸기</b> 생크림 레이어 <b>케이크</b> + 붉은말 당근 <b>케이크</b>,https://search.shopping.naver.com/catalog/58800221622,https://shopping-phinf.pstatic.net/main_5880022/58800221622.20260204171917.jpg,27800,,네이버,58800221622,1,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
투썸플레이스 <b>딸기</b> 생크림 피스,https://search.shopping.naver.com/catalog/28943640587,https://shopping-phinf.pstatic.net/main_2894364/28943640587.20210922145520.jpg,5990,,네이버,28943640587,1,투썸플레이스,투썸플레이스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
스타벅스 <b>딸기</b> 생크림 레이어 <b>케이크</b>,https://search.shopping.naver.com/catalog/58800923788,https://shopping-phinf.pstatic.net/main_5880092/58800923788.20260204181014.jpg,8900,,네이버,58800923788,1,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
스타벅스 언제나 특별해요 바닐라 라떼 T 2잔 + <b>딸기</b> 촉촉 초코 생크림 <b>케이크</b>,https://search.shopping.naver.com/catalog/57433829511,https://shopping-phinf.pstatic.net/main_5743382/57433829511.20251029180631.jpg,17200,,네이버,57433829511,1,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
스타벅스 붉은 로즈 초콜릿 T 2잔 + <b>딸기</b> 가나슈 프레지에 + <b>딸기</b> 프레지에 <b>케이크</b>,https://search.shopping.naver.com/catalog/58800647052,https://shopping-phinf.pstatic.net/main_5880064/58800647052.20260204180043.jpg,38800,,네이버,58800647052,1,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
할리스 <b>딸기</b> 치즈<b>케익</b> 쏘스윗박스,https://search.shopping.naver.com/catalog/50383872622,https://shopping-phinf.pstatic.net/main_5038387/50383872622.20240919174923.jpg,6500,,네이버,50383872622,1,할리스,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
한스<b>케익</b> <b>딸기</b>생크림 L,https://search.shopping.naver.com/catalog/53828101343,https://shopping-phinf.pstatic.net/main_5382810/53828101343.20250328170353.jpg,57420,,네이버,53828101343,1,한스케익,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
뚜레쥬르 순우유 <b>딸기</b> 무스,https://search.shopping.naver.com/catalog/24079018530,https://shopping-phinf.pstatic.net/main_2407901/24079018530.20200908113157.jpg,23760,,네이버,24079018530,1,뚜레쥬르,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
한스<b>케익</b> 초코<b>딸기</b>생크림 mini,https://search.shopping.naver.com/catalog/53828102647,https://shopping-phinf.pstatic.net/main_5382810/53828102647.20250328170837.jpg,35460,,네이버,53828102647,1,한스케익,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
